trial_id,title,short_title,phase,status,sponsor,conditions,start_date,estimated_end_date,enrolment_target,enrolled_count,arms,primary_endpoint,secondary_endpoints,sites,ethical_approval_id,ethical_committee,ethical_approved_on,created_at
NCT-20240001,A Phase II Study: Phase II Pembrolizumab in NSCLC,Phase II Pembrolizumab in NSCLC,Phase II,Recruiting,BMRI,Non-small cell lung cancer|NSCLC,2021-08-02,2023-03-18,120,54,Arm A:Experimental|Arm B:Placebo Comparator,Progression-free survival at 12 months,Biomarker response rate|Quality of life (EORTC QLQ-C30),SITE-01|SITE-02|SITE-03,EC-4657,National Medical Ethics Board,2021-02-17,2021-06-27
NCT-20240002,A Phase III Study: Phase III Osimertinib vs Gefitinib in EGFR+ NSCLC,Phase III Osimertinib vs Gefitinib in EGFR+ NSCLC,Phase III,Active (not recruiting),PharmaCo Ltd,Non-small cell lung cancer|EGFR mutation,2021-10-17,2025-11-06,200,198,Arm A:Experimental|Arm B:Active Comparator,Overall survival at 24 months,Time to progression|Overall response rate,SITE-01|SITE-02|SITE-04,EC-1488,BMRI Ethics Committee,2018-03-24,2021-09-03
NCT-20240003,A Phase I Study: Phase I Dose-Escalation of BIO-447 in Solid Tumours,Phase I Dose-Escalation of BIO-447 in Solid Tumours,Phase I,Completed,OncoBio Research,Solid tumours,2020-10-31,2025-03-16,40,40,Arm A:Experimental|Arm B:Active Comparator,Maximum tolerated dose,Patient-reported outcomes|Quality of life (EORTC QLQ-C30),SITE-03,EC-9928,IRB Malaysia,2018-03-28,2020-09-03
NCT-20240004,A Phase IV Study: Phase IV Long-term Safety of Metformin in CRC,Phase IV Long-term Safety of Metformin in CRC,Phase IV,Active (not recruiting),BMRI,Colorectal cancer,2021-04-21,2023-11-11,150,132,Arm A:Experimental|Arm B:Active Comparator,5-year overall survival,Disease control rate|Time to progression,SITE-01|SITE-05,EC-6574,Institutional Review Board A,2017-11-15,2021-03-09
NCT-20240005,A Phase II Study: Phase II Atezolizumab in Triple-Negative Breast Cancer,Phase II Atezolizumab in Triple-Negative Breast Cancer,Phase II,Recruiting,National Cancer Institute,Triple-negative breast cancer|TNBC,2022-04-13,2025-03-02,180,87,Arm A:Experimental|Arm B:Placebo Comparator,Objective response rate at 6 months,Duration of response|Time to progression,SITE-02|SITE-03|SITE-04,EC-2584,Institutional Review Board A,2021-10-02,2022-02-20
NCT-20240006,A Phase III Study: Phase III CAR-T Cell Therapy in Relapsed B-cell Lymphoma,Phase III CAR-T Cell Therapy in Relapsed B-cell Lymphoma,Phase III,Recruiting,InfectoGen Pharma,Diffuse large B-cell lymphoma|DLBCL,2021-05-21,2023-11-13,90,45,Arm A:Experimental|Arm B:Active Comparator,Complete remission rate at 3 months,Pharmacokinetic profile|Duration of response,SITE-01|SITE-04|SITE-05,EC-7201,BMRI Ethics Committee,2020-02-05,2021-04-03
NCT-20240007,A Phase II Study: Phase II Antibiotic Regimen in Drug-Resistant Pneumonia,Phase II Antibiotic Regimen in Drug-Resistant Pneumonia,Phase II,Completed,BMRI,Drug-resistant Streptococcus pneumoniae,2022-08-26,2027-03-05,60,60,Arm A:Experimental|Arm B:Active Comparator,Clinical cure rate at day 14,Safety and tolerability profile|Quality of life (EORTC QLQ-C30)|Patient-reported outcomes|Overall response rate,SITE-02|SITE-05,EC-1750,National Medical Ethics Board,2020-03-31,2022-07-22
NCT-20240008,A Phase I Study: Phase I/II HIV Therapeutic Vaccine Study,Phase I/II HIV Therapeutic Vaccine Study,Phase I,Suspended,National Cancer Institute,HIV infection,2022-10-18,2025-02-05,30,12,Arm A:Experimental|Arm B:Active Comparator,Reduction in viral load at 24 weeks,Time to progression|Biomarker response rate,SITE-03|SITE-04,EC-8428,Institutional Review Board A,2018-10-29,2022-08-26
NCT-20240009,A Phase III Study: Phase III Bevacizumab + Chemotherapy in Colon Cancer,Phase III Bevacizumab + Chemotherapy in Colon Cancer,Phase III,Terminated,PharmaCo Ltd,Colon cancer|Colorectal cancer,2019-12-29,2022-03-02,250,0,Arm A:Experimental|Arm B:Placebo Comparator,Overall survival at 18 months,Biomarker response rate|Duration of response|Patient-reported outcomes|Safety and tolerability profile,SITE-01|SITE-02|SITE-03|SITE-04,EC-3803,National Medical Ethics Board,2017-12-01,2019-10-31
NCT-20240010,A Not Applicable Study: Not Applicable: Biomarker Profiling Study,Not Applicable: Biomarker Profiling Study,Not Applicable,Completed,OncoBio Research,Pan-cancer biomarker study,2020-02-17,2022-08-22,80,80,Arm A:Experimental|Arm B:Placebo Comparator|Arm C:Active Comparator,Identification of predictive biomarkers,Patient-reported outcomes|Quality of life (EORTC QLQ-C30)|Safety and tolerability profile|Disease control rate,SITE-01|SITE-02|SITE-03|SITE-04|SITE-05,EC-1916,National Medical Ethics Board,2017-03-07,2019-11-28
